operacion	year	producto	pais	pais3	ton_punto
I	2008	Diesel	Canadá	CAN	19796.1
I	2008	Diesel	Corea del Sur	KOR	1400040.609424
I	2008	Diesel	Ecuador	ECU	0.026
I	2008	Diesel	Estados Unidos	USA	2894625.7055366
I	2008	Diesel	Holanda	NLD	9.125
I	2008	Diesel	Japón	JPN	709503.67615
I	2008	Diesel	México	MEX	9.925
I	2008	Diesel	Perú	PER	26336.271098
I	2008	Fuel Oil 6	Argentina	ARG	87877.798
I	2008	Fuel Oil 6	Canadá	CAN	127904.180234
I	2008	Fuel Oil 6	Estados Unidos	USA	293963.729711
I	2008	Fuel Oil 6	Perú	PER	122500.269863
I	2008	Gas Natural	Argentina	ARG	903738.9651765
I	2008	Gasolina	China	CHN	0.0006132
I	2008	Gasolina	Estados Unidos	USA	2002.6623468
I	2008	Gasolina	Holanda	NLD	0.0105
I	2008	GLP	Alemania	DEU	0.005
I	2008	GLP	Arabia Saudita	SAU	53078.916
I	2008	GLP	Argentina	ARG	766342.34764
I	2008	GLP	Bolivia	BOL	0.00125
I	2008	GLP	Catar	QAT	58499.88
I	2008	GLP	Corea del Sur	KOR	25.6182847
I	2008	GLP	Ecuador	ECU	15894.4
I	2008	GLP	Estados Unidos	USA	11045.0063659
I	2008	GLP	Grecia	GRC	42.75
