Posición	Jugador	Club	Puntos	Categoria
45	Regner, Martín                     	Def. Santos Lugares           	1929	1
46	Cisilin, Estanislao                	Instituto Cia. Maria          	1922	1
47	Sato, Maximiliano                  	Rioja                         	1904	1
48	Marginet Campos, Alejandro         	GTM                           	1883	1
49	Bellusci, Pablo                    	Fenix                         	1874	1
50	Sanchez, Ariel H.                  	Top Minc                      	1859	1
51	Carpio, Francisco                  	TMR                           	1852	1
52	Felscher, Jonathan                 	Social Club TDM               	1818	1
53	Rodriguez Schoeller, Santiago      	Ateneo de Versailles          	1807	1
54	Buscema, Milton                    	Alvear Club                   	1805	1
55	Buzzi, Maximiliano                 	Estacion Ping Pong            	1802	1
56	Satriani, Genaro                   	Ferrocarril Oeste             	1790	1
57	Albanese, Juan Manuel              	Top Minc                      	1781	1
58	Perez Colman, Imanol               	Banco Nacion                  	1779	1
59	Huici, Julián                      	U.V.V.A.                      	1772	1
60	Samaja, Facundo                    	CTDM Pato Nizetich            	1753	1
61	Medina, Nicolas                    	CTDM Pato Nizetich            	1753	2
62	Lamazon, Gustavo Gabriel           	CAVA                          	1740	2
63	Strah, Juan Pablo                  	Lourdes                       	1732	2
64	Waitzel, Ariel                     	Instituto Cia. Maria          	1723	2
65	Sculco, Nahuel                     	Nikkei TDM                    	1707	2
66	Correas Espeche, Ezequiel          	Rioja                         	1695	2
67	Burotto, Pablo                     	Vito Dumas TdM                	1693	2
68	Romero, Elias                      	CEDIMA                        	1685	2
69	Kaniuka, Aleksy                    	CEDIMA                        	1680	2
70	Joszpe, Santiago                   	Top Minc                      	1657	2
71	Fermanelli, Pedro                  	Lourdes                       	1646	2
72	Mallo, Federico Oscar              	Inst.Atlet. Cultural          	1629	2
73	Acuña, Luis                        	Instituto Cia. Maria          	1627	2
74	Carlisi, Nahuel                    	Tigre TDM                     	1624	2
75	Smodlaka, Guido I.                 	Alvear Club                   	1619	2
76	Perez, Alejandro                   	CEDIMA                        	1613	2
77	Gutierrez, Marcelo                 	Circulo Campano               	1593	2
78	Vera Ortega, Joaquín               	Tigre TDM                     	1586	2
79	Carattoli, Lucas J.                	Ateneo de Versailles          	1580	2
80	Garcia, Román                      	Gimnasty                      	1578	2
81	Rosen, Franco                      	Top Minc                      	1553	2
82	Ledesma, Nicolás                   	Def. Santos Lugares           	1546	2
83	Palazzo, Didier                    	Ateneo de Versailles          	1524	2
84	Sosa, Mateo                        	Fenix                         	1521	2
85	Bronstein, Facundo                 	River Plate                   	1517	2
86	Schvartz, Ivan                     	Macabi                        	1507	2
87	Camposaragna, Gian Franco          	Tigre TDM                     	1489	2
88	Cardoso, Andres N                  	CAVA                          	1488	2
89	Rodriguez, Aurelio                 	Instituto Cia. Maria          	1476	2
90	Navarro, Sergio Fernando           	Instituto Cia. Maria          	1468	2
91	Vergez, Federico                   	Estacion Ping Pong            	1466	2
92	Camagna, Diego Andrés              	Fenix                         	1465	2
93	Josid, Alex                        	Macabi                        	1461	2
94	Bertran, Ezequiel                  	Instituto Cia. Maria          	1460	2
95	Belaustegui, Nicolás               	Tigre TDM                     	1456	2
96	Rotryng Alvarez, Facundo           	Macabi                        	1450	2
97	Marcial, Alma G.                   	AsociacionYabrudense          	1449	2
98	Yonamine, Ricardo                  	Nikkei TDM                    	1435	2
99	Delgado, Gastón                    	Fenix                         	1425	2
100	Ortiz, Carlos N.                   	Libertad                      	1416	2
101	Buquete, Luis Mariano              	El Galpong                    	1412	2
102	Otero Saumell, Juan                	GTM                           	1411	2
103	Sanucci, Matías                    	CAVA                          	1405	2
104	Paz, Facundo N.                    	CEDIMA                        	1387	2
105	Garcia Rae, Nehuen                 	CTDM Pato Nizetich            	1377	2
106	Frasson, Gabriel                   	TMR                           	1372	2
107	Vera, Agustín                      	Tigre TDM                     	1367	2
108	Baltaian, Leandro Alfredo          	CTDM Pato Nizetich            	1365	2
109	Pollini, Santiago                  	Lourdes                       	1365	2
110	Okuyama, Abril                     	Peretz                        	1362	2
111	Rizzo, Juan                        	GTM                           	1348	3
112	Zaffaroni Velazquez, Luca N.       	Def. Santos Lugares           	1346	3
113	Kenji Kamida, Diego                	AsociacionYabrudense          	1332	3
114	Gans, Ignacio                      	Macabi                        	1322	3
115	Martire, Emiliano                  	Circulo Campano               	1320	3
116	Cohen, Claudio                     	Padilla                       	1318	3
117	Arnaudo, Facundo E.                	Ferrocarril Oeste             	1307	3
118	Amendola, Julio                    	Def. Santos Lugares           	1301	3
119	Salvatierra, Marcelo               	TMR                           	1301	3
