year	combustible	region	m3
2007	P_DIESEL_INVERNAL	CL-VS	4962
2007	P_DIESEL_INVERNAL	CL-LI	347
2007	P_DIESEL_INVERNAL	CL-ML	62
2007	P_DIESEL_INVERNAL	CL-BI	292
2007	P_DIESEL_INVERNAL	CL-LL	339
2007	P_DIESEL_INVERNAL	CL-AI	120
2007	P_DIESEL_INVERNAL	CL-MA	51
2007	P_DIESEL_INVERNAL	CL-LR	0
2007	P_DIESEL_INVERNAL	CL-AP	0
2008	GASOLINA_93_SP	CL-TA	23625
2008	GASOLINA_93_SP	CL-AN	56530
2008	GASOLINA_93_SP	CL-AT	27794
2008	GASOLINA_93_SP	CL-CO	63913
2008	GASOLINA_93_SP	CL-AR	64879
2008	GASOLINA_93_SP	CL-RM	641358
2008	GASOLINA_93_SP	CL-VS	156466
2008	GASOLINA_93_SP	CL-LI	63433
2008	GASOLINA_93_SP	CL-ML	87434
2008	GASOLINA_93_SP	CL-BI	140854
2008	GASOLINA_93_SP	CL-LL	82329
2008	GASOLINA_93_SP	CL-AI	11019
2008	GASOLINA_93_SP	CL-MA	19298
2008	GASOLINA_93_SP	CL-LR	21524
2008	GASOLINA_93_SP	CL-AP	14005
2008	GASOLINA_95_SP	CL-TA	11807
2008	GASOLINA_95_SP	CL-AN	23892
2008	GASOLINA_95_SP	CL-AT	16883
2008	GASOLINA_95_SP	CL-CO	37498
2008	GASOLINA_95_SP	CL-AR	42782
2008	GASOLINA_95_SP	CL-RM	437204
2008	GASOLINA_95_SP	CL-VS	104572
2008	GASOLINA_95_SP	CL-LI	56412
2008	GASOLINA_95_SP	CL-ML	53517
2008	GASOLINA_95_SP	CL-BI	104192
2008	GASOLINA_95_SP	CL-LL	43964
2008	GASOLINA_95_SP	CL-AI	1822
2008	GASOLINA_95_SP	CL-MA	2213
2008	GASOLINA_95_SP	CL-LR	20178
2008	GASOLINA_95_SP	CL-AP	1416
2008	GASOLINA_97_SP	CL-TA	21169
2008	GASOLINA_97_SP	CL-AN	37707
2008	GASOLINA_97_SP	CL-AT	15924
2008	GASOLINA_97_SP	CL-CO	33931
2008	GASOLINA_97_SP	CL-AR	23262
2008	GASOLINA_97_SP	CL-RM	432424
2008	GASOLINA_97_SP	CL-VS	75482
2008	GASOLINA_97_SP	CL-LI	30842
2008	GASOLINA_97_SP	CL-ML	33162
2008	GASOLINA_97_SP	CL-BI	53397
2008	GASOLINA_97_SP	CL-LL	28245
2008	GASOLINA_97_SP	CL-AI	4994
2008	GASOLINA_97_SP	CL-MA	6039
2008	GASOLINA_97_SP	CL-LR	7974
2008	GASOLINA_97_SP	CL-AP	7115
2008	GASOLINA_AVIACION_1000130	CL-TA	654
2008	GASOLINA_AVIACION_1000130	CL-AN	105
2008	GASOLINA_AVIACION_1000130	CL-AT	64
2008	GASOLINA_AVIACION_1000130	CL-CO	50
2008	GASOLINA_AVIACION_1000130	CL-AR	267
2008	GASOLINA_AVIACION_1000130	CL-RM	1677
2008	GASOLINA_AVIACION_1000130	CL-VS	677
2008	GASOLINA_AVIACION_1000130	CL-LI	149
2008	GASOLINA_AVIACION_1000130	CL-ML	330
2008	GASOLINA_AVIACION_1000130	CL-BI	297
2008	GASOLINA_AVIACION_1000130	CL-LL	1274
2008	GASOLINA_AVIACION_1000130	CL-AI	169
2008	GASOLINA_AVIACION_1000130	CL-MA	98
2008	GASOLINA_AVIACION_1000130	CL-LR	14
2008	GASOLINA_AVIACION_1000130	CL-AP	120
2008	KEROSENE_AVIACION	CL-TA	45994
2008	KEROSENE_AVIACION	CL-AN	38297
2008	KEROSENE_AVIACION	CL-AT	3342
2008	KEROSENE_AVIACION	CL-CO	4420
2008	KEROSENE_AVIACION	CL-AR	5657
2008	KEROSENE_AVIACION	CL-RM	754834
2008	KEROSENE_AVIACION	CL-VS	10497
2008	KEROSENE_AVIACION	CL-LI	80
2008	KEROSENE_AVIACION	CL-ML	186
2008	KEROSENE_AVIACION	CL-BI	14929
2008	KEROSENE_AVIACION	CL-LL	34399
2008	KEROSENE_AVIACION	CL-AI	1231
2008	KEROSENE_AVIACION	CL-MA	23637
2008	KEROSENE_AVIACION	CL-LR	28
2008	KEROSENE_AVIACION	CL-AP	5784
2008	KEROSENE_DOMESTICO	CL-TA	2300
2008	KEROSENE_DOMESTICO	CL-AN	13013
2008	KEROSENE_DOMESTICO	CL-AT	159
2008	KEROSENE_DOMESTICO	CL-CO	448
2008	KEROSENE_DOMESTICO	CL-AR	1666
2008	KEROSENE_DOMESTICO	CL-RM	73246
2008	KEROSENE_DOMESTICO	CL-VS	3866
2008	KEROSENE_DOMESTICO	CL-LI	6920
2008	KEROSENE_DOMESTICO	CL-ML	5780
2008	KEROSENE_DOMESTICO	CL-BI	8639
2008	KEROSENE_DOMESTICO	CL-LL	2511
2008	KEROSENE_DOMESTICO	CL-AI	630
2008	KEROSENE_DOMESTICO	CL-MA	0
2008	KEROSENE_DOMESTICO	CL-LR	608
2008	KEROSENE_DOMESTICO	CL-AP	363
2008	P_COMBUSTIBLE_180	CL-TA	3777
2008	P_COMBUSTIBLE_180	CL-AN	28617
2008	P_COMBUSTIBLE_180	CL-AT	234794
2008	P_COMBUSTIBLE_180	CL-CO	1895
2008	P_COMBUSTIBLE_180	CL-AR	2923
2008	P_COMBUSTIBLE_180	CL-RM	67195
2008	P_COMBUSTIBLE_180	CL-VS	844041
2008	P_COMBUSTIBLE_180	CL-LI	0
2008	P_COMBUSTIBLE_180	CL-ML	2915
2008	P_COMBUSTIBLE_180	CL-BI	118303
2008	P_COMBUSTIBLE_180	CL-LL	11559
2008	P_COMBUSTIBLE_180	CL-AI	0
2008	P_COMBUSTIBLE_180	CL-MA	0
2008	P_COMBUSTIBLE_180	CL-LR	12596
2008	P_COMBUSTIBLE_180	CL-AP	0
2008	P_COMBUSTIBLE_5	CL-TA	723
2008	P_COMBUSTIBLE_5	CL-AN	48
2008	P_COMBUSTIBLE_5	CL-AT	15
